WeatherPy_Database.csv,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Port Hedland,-20.3167,118.5667,87.8,58,0,17.27,AU,2021-02-07 09:31:18
68,Severo-Kurilsk,50.6789,156.125,23.41,93,100,27.07,RU,2021-02-07 09:32:21
69,Mogadishu,2.0371,45.3438,84.2,58,40,20.71,SO,2021-02-07 09:35:11
70,Tuktoyaktuk,69.4541,-133.0374,-15.59,87,100,16.69,CA,2021-02-07 09:31:42
71,Belmonte,-15.8631,-38.8828,77.0,88,75,5.75,BR,2021-02-07 09:35:11
72,Lavrentiya,65.5833,-171.0,-12.46,78,0,4.68,RU,2021-02-07 09:32:31
73,Hun,29.1268,15.9477,77.54,16,100,17.27,LY,2021-02-07 09:35:11
74,Quatre Cocos,-20.2078,57.7625,87.8,62,40,14.97,MU,2021-02-07 09:31:25
75,Ribeira Grande,38.5167,-28.7,60.8,88,20,12.66,PT,2021-02-07 09:31:28
76,Nara,34.6851,135.8049,53.6,54,40,11.5,JP,2021-02-07 09:35:12
77,Sao Filipe,14.8961,-24.4956,69.19,71,19,14.74,CV,2021-02-07 09:31:24
78,Simpang,-1.2667,104.0833,83.25,68,100,7.18,ID,2021-02-07 09:35:12
79,Barrow,71.2906,-156.7887,-7.6,77,75,12.66,US,2021-02-07 09:31:24
80,Husavik,66.0449,-17.3389,33.8,75,75,3.44,IS,2021-02-07 09:32:18
81,Georgetown,5.4112,100.3354,89.6,58,20,10.36,MY,2021-02-07 09:30:07
82,Atuona,-9.8,-139.0333,79.32,76,70,21.85,PF,2021-02-07 09:31:35
83,Eshowe,-28.8865,31.4699,82.36,66,62,11.77,ZA,2021-02-07 09:35:12
84,Saskylakh,71.9167,114.0833,-38.94,78,25,11.12,RU,2021-02-07 09:32:19
85,Avarua,-21.2078,-159.775,78.8,83,6,3.44,CK,2021-02-07 09:31:51
86,Tabas,33.5959,56.9244,69.8,14,0,2.3,IR,2021-02-07 09:34:28
87,Corinto,37.9407,22.9573,63.0,49,75,1.99,GR,2021-02-07 09:34:36
88,Nikolskoye,59.7035,30.7861,14.0,85,75,15.66,RU,2021-02-07 09:31:38
89,Khatanga,71.9667,102.5,-31.59,79,0,8.55,RU,2021-02-07 09:31:33
90,Vao,-22.6667,167.4833,77.95,87,0,11.18,NC,2021-02-07 09:32:42
91,Marawi,7.9986,124.2928,78.01,91,100,1.01,PH,2021-02-07 09:32:17
