City_ID,WeatherPy_Database.csv,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
402,402,Grand-Santi,4.25,-54.3833,71.78,97,100,2.01,GF,2021-02-07 07:21:48
412,412,Puerto Leguizamo,-0.1934,-74.7819,72.43,97,100,1.03,CO,2021-02-07 07:21:49
414,414,Tehri,30.3833,78.4833,72.88,19,0,4.45,IN,2021-02-07 07:21:30
418,418,Cacule,-14.5033,-42.2222,68.99,94,100,1.72,BR,2021-02-07 07:21:50
422,422,Amontada,-3.3617,-39.8317,72.32,94,1,3.4,BR,2021-02-07 07:21:50
432,432,George,-33.963,22.4617,73.4,68,40,11.5,ZA,2021-02-07 07:21:52
450,450,Nagua,19.3832,-69.8474,71.11,88,89,4.36,DO,2021-02-07 07:21:55
459,459,Sur,22.5667,59.5289,74.34,46,0,7.49,OM,2021-02-07 07:21:57
461,461,Kahului,20.8947,-156.47,69.8,68,75,4.65,US,2021-02-07 07:21:57
465,465,Ebebiyin,2.1511,11.3353,73.81,87,81,2.06,GQ,2021-02-07 07:21:58
472,472,Nicoya,10.1483,-85.45200000000001,73.58,83,93,3.15,CR,2021-02-07 07:22:00
475,475,Cascas,-7.4833,-78.8167,66.11,72,94,1.28,PE,2021-02-07 07:22:01
491,491,Pangoa,-12.1167,-73.0,69.17,96,100,2.06,PE,2021-02-07 07:22:03
492,492,Nizwa,22.9333,57.5333,72.91,23,0,6.38,OM,2021-02-07 07:22:04
498,498,Ruy Barbosa,-12.2839,-40.4939,71.92,94,99,1.83,BR,2021-02-07 07:22:04
502,502,Nauta,-4.5061,-73.5757,72.61,95,97,1.07,PE,2021-02-07 07:22:05
505,505,Salta,-24.7859,-65.4117,66.99,94,0,1.12,AR,2021-02-07 07:22:05
506,506,Moron,-34.6534,-58.6198,73.0,92,0,1.99,AR,2021-02-07 07:22:05
510,510,Sao Paulo De Olivenca,-3.3783,-68.8725,73.87,97,100,1.05,BR,2021-02-07 07:22:06
511,511,Lazaro Cardenas,17.9583,-102.2,71.08,85,1,3.04,MX,2021-02-07 07:22:06
522,522,Isiro,2.7739,27.616,74.84,20,0,4.76,CD,2021-02-07 07:22:08
531,531,Maues,-3.3836,-57.7186,74.26,95,100,0.76,BR,2021-02-07 07:22:09
535,535,Oum Hadjer,13.2954,19.6966,66.49,25,2,12.5,TD,2021-02-07 07:22:10
552,552,Mecca,21.4267,39.8261,73.31,34,0,8.84,SA,2021-02-07 07:20:01
